1,AAB20CA44A3BD8A185F2FB6DB306BE478F137890F682A2A4836759E96F6CC4A9
2,90014E8A299DA10CA38ED7DAF7B1F10798E505100ADCF23AAC4F3FBA3E12A302
3,94BAAC03E92B6D4D5CD66302A3753E50C81104431A5DFE6BC50FFA189858A481
4,F50D2D60FA199F27A9AB6DE642A418C02E83776D5D57DC608CD406E13E394CE0
5,1089759E8E3E7D1FAAABB27D675B0CD8FEE2A7C5CAE3A2DE207246F08666CD6C
6,512A28EF2B74DB35694D346F4FFA20397C772A4C181DA4D939952896EEA4EDE5
7,59E6815D0B0C37C8BB5D40003D5B64FA22D701960332B0ADCBCD9F2D30362195
8,5E860461548203FE924B19E9858DE87E32225B0979E3A71D514A8337921FB5D5
9,5EE43D59C8F919C4D3446CBBBFD50585978A6F742DF08A813F52AD986EDA6B9A
10,D0D2E980D4A29E34B4C942D799ED43EC31828B6ED53E3FA8742B8270AEDF44C1
