1,4480E0921E35A0117275BD2F647A18C556F3F8701D46A57828E0541EAC0E2914
2,A2D0EE9B7ADDABF9FE37352677A13FBC320377A170A4AB47B3D42454D064679E
3,6E4F3AD77FDA0575062423D579761AC08D6EF84AE9966FA86B6EA7942EF3C894
4,D571A1F9909446602A635B53CC4B60D51741F83B6921C3BB20A137D9EF961D51
5,E37AB5EF9A4069072A1F5BAC142708404E24F9511AB191AB18B2BCFCA2EC36D0
6,7D7528FACF9D1AB42140121257B97055412B6A18458009EF77173EBB3F6EC8B5
7,B9957080C8CB4AB35A36CC655EA04A966D105B924E327B4B42A432314A1D7A52
8,06E8F8B00DD7E199FB6EB71F09FB1A8495330EABEEB0BF9D21976ED20FF0C93C
9,1AB6ECA34528AD40ED497D32FD6627179803EAF98B11BC1F2112E5B02820DD63
10,E922D1A4DB45F302E3F703B4B87DABE0A32C2C389DAF10DD4CB064896A90B327
